site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_045,25.317237741476646,82.9653364677012,8.8761,1.0,3.5133,3.499,3.6446,1.0,1.238,6.7867,1.1699
SITE_046,25.321750424638466,82.9654093313266,8.9601,1.0,3.1928,3.2695,2.6487,1.0,1.4145,4.9952,1.0793
SITE_047,25.326263104841228,82.96548221248379,8.9197,1.0,2.8623,3.0696,1.87,1.0,1.7507,2.7346,1.0365
SITE_048,25.330775782084512,82.96555511117563,8.7955,1.0,2.6185,2.9801,1.3828,1.0,2.1781,1.4863,1.0338
SITE_049,25.335288456367916,82.96562802740497,8.7612,1.0,2.528,3.0394,1.142,1.0,2.4331,1.0949,1.0801
SITE_050,25.33980112769103,82.96570096117465,8.6401,1.0,2.6003,3.2283,1.0452,1.0,2.2977,1.0146,1.2078
SITE_051,25.344313796053445,82.96577391248746,8.6853,1.0,2.7834,3.4766,1.0124,1.0,1.8642,1.0019,1.4534
SITE_052,25.348826461454752,82.96584688134632,8.574,1.0,2.9836,3.6882,1.0028,1.0,1.4218,1.0002,1.8085
SITE_053,25.353339123894543,82.96591986775402,8.7319,1.0,3.1029,3.7732,1.0005,1.0,1.1507,1.0,2.1749
SITE_054,25.35785178337241,82.96599287171344,8.6457,1.0,3.0725,3.6784,1.0001,1.0,1.0394,1.0,2.391
SITE_055,25.276557277339972,82.9696446433437,8.2223,1.0,2.9969,4.0469,4.242,1.0,2.7162,1.002,5.7945
SITE_056,25.281069973667933,82.96971753269032,8.1461,1.0,3.0757,3.9497,3.8945,1.0,3.598,1.0016,5.5184
SITE_057,25.285582667039538,82.96979043958737,8.6144,1.0,3.1875,3.8144,3.9754,1.0,3.9657,1.0051,4.9376
SITE_058,25.290095357454387,82.9698633640377,8.9775,1.0,3.366,3.7195,4.4031,1.0,3.5607,1.0275,4.1022
SITE_059,25.294608044912078,82.96993630604415,8.9016,1.0,3.6111,3.7136,5.0711,1.0,2.6892,1.1076,3.2058
SITE_060,25.299120729412184,82.97000926560952,8.9101,1.0,3.8872,3.7957,5.7267,1.0,1.8914,1.3344,2.474
SITE_061,25.303633410954305,82.97008224273668,8.5106,1.0,4.1326,3.9163,5.97,1.0,1.4734,1.9856,1.9947
SITE_062,25.308146089538035,82.97015523742849,8.0374,1.0,4.276,4.0024,5.6169,1.0,1.4226,3.5563,1.703
SITE_063,25.312658765162954,82.97022824968775,7.973,1.0,4.2607,3.9965,4.8343,1.0,1.5749,5.7617,1.4975
SITE_064,25.317171437828666,82.97030127951732,8.7334,1.0,4.0691,3.8883,3.8677,1.0,1.7976,6.7456,1.3282
SITE_065,25.321684107534747,82.97037432692005,8.7553,1.0,3.7379,3.7223,2.8951,1.0,2.1369,5.4059,1.1937
SITE_066,25.3261967742808,82.97044739189877,8.4171,1.0,3.3514,3.5761,2.0785,1.0,2.7506,3.2177,1.1028
SITE_067,25.330709438066407,82.97052047445635,7.735,1.0,3.0123,3.5222,1.5239,1.0,3.5369,1.802,1.0555
SITE_068,25.335222098891165,82.97059357459561,7.2738,1.0,2.8013,3.5924,1.2181,1.0,3.9741,1.2352,1.049
SITE_069,25.33973475675466,82.97066669231941,7.9401,1.0,2.7438,3.7626,1.0775,1.0,3.6336,1.0573,1.0866
SITE_070,25.344247411656493,82.9707398276306,8.364,1.0,2.8014,3.9613,1.023,1.0,2.7228,1.0104,1.1748
SITE_071,25.348760063596238,82.97081298053202,8.051,1.0,2.8911,4.0978,1.0055,1.0,1.8271,1.0013,1.3055
SITE_072,25.353272712573506,82.97088615102652,8.95,1.0,2.9237,4.0955,1.001,1.0,1.2909,1.0001,1.4395
SITE_073,25.357785358587876,82.97095933911697,7.0832,1.0,2.8379,3.9184,1.0001,1.0,1.0749,1.0,1.5163
SITE_074,25.362298001638937,82.9710325448062,7.2873,1.0,2.615,3.5797,1.0,1.0,1.0141,1.0,1.4944
